name,chr,start,stop,
7SLRNA:CR32864,3R,6822500,6822798,"{""name"":""7SLRNA:CR32864"",""chr"":""3R"",""start"":6822500,""stop"":6822798},"
a,2R,22136968,22172834,"{""name"":""a"",""chr"":""2R"",""start"":22136968,""stop"":22172834},"
abd-A,3R,16807214,16830049,"{""name"":""abd-A"",""chr"":""3R"",""start"":16807214,""stop"":16830049},"
Abd-B,3R,16927212,16972236,"{""name"":""Abd-B"",""chr"":""3R"",""start"":16927212,""stop"":16972236},"
Abl,3L,16615866,16647882,"{""name"":""Abl"",""chr"":""3L"",""start"":16615866,""stop"":16647882},"
abo,2L,10973443,10975293,"{""name"":""abo"",""chr"":""2L"",""start"":10973443,""stop"":10975293},"
ac,X,370031,370947,"{""name"":""ac"",""chr"":""X"",""start"":370031,""stop"":370947},"
Ace,3R,13222951,13259517,"{""name"":""Ace"",""chr"":""3R"",""start"":13222951,""stop"":13259517},"
acj6,X,15350239,15379064,"{""name"":""acj6"",""chr"":""X"",""start"":15350239,""stop"":15379064},"
Acph-1,3R,29991144,29993411,"{""name"":""Acph-1"",""chr"":""3R"",""start"":29991144,""stop"":29993411},"
nAChRalpha1,3R,24393896,24457157,"{""name"":""nAChRalpha1"",""chr"":""3R"",""start"":24393896,""stop"":24457157},"
mAChR-A,2R,24378630,24390294,"{""name"":""mAChR-A"",""chr"":""2R"",""start"":24378630,""stop"":24390294},"
nAChRbeta1,3L,4429349,4435993,"{""name"":""nAChRbeta1"",""chr"":""3L"",""start"":4429349,""stop"":4435993},"
nAChRalpha2,3R,24485428,24491147,"{""name"":""nAChRalpha2"",""chr"":""3R"",""start"":24485428,""stop"":24491147},"
Act5C,X,5900861,5905399,"{""name"":""Act5C"",""chr"":""X"",""start"":5900861,""stop"":5905399},"
Act42A,2R,6013910,6015689,"{""name"":""Act42A"",""chr"":""2R"",""start"":6013910,""stop"":6015689},"
Act57B,2R,20944021,20946431,"{""name"":""Act57B"",""chr"":""2R"",""start"":20944021,""stop"":20946431},"
Act79B,3L,21985210,21987190,"{""name"":""Act79B"",""chr"":""3L"",""start"":21985210,""stop"":21987190},"
Act87E,3R,13425983,13428375,"{""name"":""Act87E"",""chr"":""3R"",""start"":13425983,""stop"":13428375},"
Act88F,3R,15439969,15442177,"{""name"":""Act88F"",""chr"":""3R"",""start"":15439969,""stop"":15442177},"
Pfas,2L,6041181,6046050,"{""name"":""Pfas"",""chr"":""2L"",""start"":6041181,""stop"":6046050},"
Gart,2L,7014623,7023898,"{""name"":""Gart"",""chr"":""2L"",""start"":7014623,""stop"":7023898},"
Adh,2L,14615552,14618902,"{""name"":""Adh"",""chr"":""2L"",""start"":14615552,""stop"":14618902},"
Adhr,2L,14615552,14618902,"{""name"":""Adhr"",""chr"":""2L"",""start"":14615552,""stop"":14618902},"
adp,2R,18151704,18154060,"{""name"":""adp"",""chr"":""2R"",""start"":18151704,""stop"":18154060},"
al,2L,378112,387439,"{""name"":""al"",""chr"":""2L"",""start"":378112,""stop"":387439},"
Mps1,3R,17671271,17673828,"{""name"":""Mps1"",""chr"":""3R"",""start"":17671271,""stop"":17673828},"
Ald1,3R,26254069,26261591,"{""name"":""Ald1"",""chr"":""3R"",""start"":26254069,""stop"":26261591},"
Ama,3R,6762593,6765261,"{""name"":""Ama"",""chr"":""3R"",""start"":6762593,""stop"":6765261},"
amd,2L,19110154,19114110,"{""name"":""amd"",""chr"":""2L"",""start"":19110154,""stop"":19114110},"
amx,X,9245915,9247336,"{""name"":""amx"",""chr"":""X"",""start"":9245915,""stop"":9247336},"
Amy-d,2R,17124764,17126369,"{""name"":""Amy-d"",""chr"":""2R"",""start"":17124764,""stop"":17126369},"
Amy-p,2R,17118636,17120303,"{""name"":""Amy-p"",""chr"":""2R"",""start"":17118636,""stop"":17120303},"
AnxB9,3R,21065241,21070917,"{""name"":""AnxB9"",""chr"":""3R"",""start"":21065241,""stop"":21070917},"
AnxB10,X,20171445,20173514,"{""name"":""AnxB10"",""chr"":""X"",""start"":20171445,""stop"":20173514},"
dyw,X,2692732,2693886,"{""name"":""dyw"",""chr"":""X"",""start"":2692732,""stop"":2693886},"
Anp,3R,30209948,30210382,"{""name"":""Anp"",""chr"":""3R"",""start"":30209948,""stop"":30210382},"
aop,2L,2156484,2178754,"{""name"":""aop"",""chr"":""2L"",""start"":2156484,""stop"":2178754},"
RpLP0,3L,22075867,22077487,"{""name"":""RpLP0"",""chr"":""3L"",""start"":22075867,""stop"":22077487},"
Appl,X,530501,579044,"{""name"":""Appl"",""chr"":""X"",""start"":530501,""stop"":579044},"
Aprt,3L,1883795,1885019,"{""name"":""Aprt"",""chr"":""3L"",""start"":1883795,""stop"":1885019},"
bru1,2L,12175004,12313438,"{""name"":""bru1"",""chr"":""2L"",""start"":12175004,""stop"":12313438},"
Arl1,3L,15983135,15984362,"{""name"":""Arl1"",""chr"":""3L"",""start"":15983135,""stop"":15984362},"
Argk1,3L,9048781,9066027,"{""name"":""Argk1"",""chr"":""3L"",""start"":9048781,""stop"":9066027},"
arm,X,1891401,1900646,"{""name"":""arm"",""chr"":""X"",""start"":1891401,""stop"":1900646},"
arr,2R,13453640,13483229,"{""name"":""arr"",""chr"":""2R"",""start"":13453640,""stop"":13483229},"
Arr1,2L,18078269,18081307,"{""name"":""Arr1"",""chr"":""2L"",""start"":18078269,""stop"":18081307},"
Arr2,3L,8647261,8648936,"{""name"":""Arr2"",""chr"":""3L"",""start"":8647261,""stop"":8648936},"
ase,X,460747,463176,"{""name"":""ase"",""chr"":""X"",""start"":460747,""stop"":463176},"
ash2,3R,24650125,24653376,"{""name"":""ash2"",""chr"":""3R"",""start"":24650125,""stop"":24653376},"
asp,3R,24753849,24760513,"{""name"":""asp"",""chr"":""3R"",""start"":24753849,""stop"":24760513},"
aub,2L,10997819,11001476,"{""name"":""aub"",""chr"":""2L"",""start"":10997819,""stop"":11001476},"
aurA,3R,11963124,11964826,"{""name"":""aurA"",""chr"":""3R"",""start"":11963124,""stop"":11964826},"
awd,3R,31745172,31746077,"{""name"":""awd"",""chr"":""3R"",""start"":31745172,""stop"":31746077},"
Axs,X,16680089,16683895,"{""name"":""Axs"",""chr"":""X"",""start"":16680089,""stop"":16683895},"
b,2L,13821248,13823979,"{""name"":""b"",""chr"":""2L"",""start"":13821248,""stop"":13823979},"
Dll,2R,24814822,24835667,"{""name"":""Dll"",""chr"":""2R"",""start"":24814822,""stop"":24835667},"
bam,3R,25243039,25245109,"{""name"":""bam"",""chr"":""3R"",""start"":25243039,""stop"":25245109},"
baz,X,17160006,17200728,"{""name"":""baz"",""chr"":""X"",""start"":17160006,""stop"":17200728},"
bcd,3R,6755842,6759466,"{""name"":""bcd"",""chr"":""3R"",""start"":6755842,""stop"":6759466},"
ben,X,13996345,13999805,"{""name"":""ben"",""chr"":""X"",""start"":13996345,""stop"":13999805},"
bi,X,4412856,4485647,"{""name"":""bi"",""chr"":""X"",""start"":4412856,""stop"":4485647},"
bib,2L,9984645,9995538,"{""name"":""bib"",""chr"":""2L"",""start"":9984645,""stop"":9995538},"
bic,2R,12870249,12871794,"{""name"":""bic"",""chr"":""2R"",""start"":12870249,""stop"":12871794},"
BicC,2L,16042047,16048757,"{""name"":""BicC"",""chr"":""2L"",""start"":16042047,""stop"":16048757},"
BicD,2L,17459605,17473215,"{""name"":""BicD"",""chr"":""2L"",""start"":17459605,""stop"":17473215},"
boss,3R,25961994,25966948,"{""name"":""boss"",""chr"":""3R"",""start"":25961994,""stop"":25966948},"
brm,3L,15970082,15982869,"{""name"":""brm"",""chr"":""3L"",""start"":15970082,""stop"":15982869},"
Brd,3L,14972667,14973198,"{""name"":""Brd"",""chr"":""3L"",""start"":14972667,""stop"":14973198},"
brn,X,4104342,4105791,"{""name"":""brn"",""chr"":""X"",""start"":4104342,""stop"":4105791},"
Elba1,2L,4683052,4684461,"{""name"":""Elba1"",""chr"":""2L"",""start"":4683052,""stop"":4684461},"
Nin,2L,5271728,5278548,"{""name"":""Nin"",""chr"":""2L"",""start"":5271728,""stop"":5278548},"
bsk,2L,10247502,10250501,"{""name"":""bsk"",""chr"":""2L"",""start"":10247502,""stop"":10250501},"
btd,X,9694186,9697558,"{""name"":""btd"",""chr"":""X"",""start"":9694186,""stop"":9697558},"
bur,2L,21174182,21179683,"{""name"":""bur"",""chr"":""2L"",""start"":21174182,""stop"":21179683},"
bw,2R,23527805,23538499,"{""name"":""bw"",""chr"":""2R"",""start"":23527805,""stop"":23538499},"
by,3R,9528238,9533011,"{""name"":""by"",""chr"":""3R"",""start"":9528238,""stop"":9533011},"
c(3)G,3R,15789473,15792579,"{""name"":""c(3)G"",""chr"":""3R"",""start"":15789473,""stop"":15792579},"
ca,3R,29806811,29815047,"{""name"":""ca"",""chr"":""3R"",""start"":29806811,""stop"":29815047},"
cact,2L,16313036,16326207,"{""name"":""cact"",""chr"":""2L"",""start"":16313036,""stop"":16326207},"
cad,2L,20770731,20783135,"{""name"":""cad"",""chr"":""2L"",""start"":20770731,""stop"":20783135},"
Cam,2R,12259398,12278809,"{""name"":""Cam"",""chr"":""2R"",""start"":12259398,""stop"":12278809},"
capu,2L,3872646,3902860,"{""name"":""capu"",""chr"":""2L"",""start"":3872646,""stop"":3902860},"
car,X,19566019,19569401,"{""name"":""car"",""chr"":""X"",""start"":19566019,""stop"":19569401},"
CkIIbeta,X,11792533,11801587,"{""name"":""CkIIbeta"",""chr"":""X"",""start"":11792533,""stop"":11801587},"
Cat,3L,18822604,18828188,"{""name"":""Cat"",""chr"":""3L"",""start"":18822604,""stop"":18828188},"
Pka-C1,2L,9682315,9699297,"{""name"":""Pka-C1"",""chr"":""2L"",""start"":9682315,""stop"":9699297},"
Pka-C2,3R,30695537,30697138,"{""name"":""Pka-C2"",""chr"":""3R"",""start"":30695537,""stop"":30697138},"
CecA1,3R,30210874,30211273,"{""name"":""CecA1"",""chr"":""3R"",""start"":30210874,""stop"":30211273},"
CecA2,3R,30212156,30212568,"{""name"":""CecA2"",""chr"":""3R"",""start"":30212156,""stop"":30212568},"
CecB,3R,30213315,30213797,"{""name"":""CecB"",""chr"":""3R"",""start"":30213315,""stop"":30213797},"
CecC,3R,30216484,30216938,"{""name"":""CecC"",""chr"":""3R"",""start"":30216484,""stop"":30216938},"
Cec-Psi1,3R,30211527,30211753,"{""name"":""Cec-Psi1"",""chr"":""3R"",""start"":30211527,""stop"":30211753},"
Cec2,3R,30212903,30213142,"{""name"":""Cec2"",""chr"":""3R"",""start"":30212903,""stop"":30213142},"
Cp190,3R,15270432,15275241,"{""name"":""Cp190"",""chr"":""3R"",""start"":15270432,""stop"":15275241},"
Cf2,2L,4876891,4883107,"{""name"":""Cf2"",""chr"":""2L"",""start"":4876891,""stop"":4883107},"
salr,2L,11358873,11373636,"{""name"":""salr"",""chr"":""2L"",""start"":11358873,""stop"":11373636},"
cg,2R,14173693,14182838,"{""name"":""cg"",""chr"":""2R"",""start"":14173693,""stop"":14182838},"
Col4a1,2L,5029609,5037279,"{""name"":""Col4a1"",""chr"":""2L"",""start"":5029609,""stop"":5037279},"
ChAT,3R,18705501,18732344,"{""name"":""ChAT"",""chr"":""3R"",""start"":18705501,""stop"":18732344},"
chif,2L,16342430,16352628,"{""name"":""chif"",""chr"":""2L"",""start"":16342430,""stop"":16352628},"
chic,2L,5972115,5981018,"{""name"":""chic"",""chr"":""2L"",""start"":5972115,""stop"":5981018},"
cin,X,255674,258469,"{""name"":""cin"",""chr"":""X"",""start"":255674,""stop"":258469},"
ck,2L,15044963,15057862,"{""name"":""ck"",""chr"":""2L"",""start"":15044963,""stop"":15057862},"
cl,2L,5520135,5521382,"{""name"":""cl"",""chr"":""2L"",""start"":5520135,""stop"":5521382},"
Chc,X,15827986,15835490,"{""name"":""Chc"",""chr"":""X"",""start"":15827986,""stop"":15835490},"
eya,2L,6527447,6546976,"{""name"":""eya"",""chr"":""2L"",""start"":6527447,""stop"":6546976},"
clt,2R,21617061,21619079,"{""name"":""clt"",""chr"":""2R"",""start"":21617061,""stop"":21619079},"
cm,X,7009006,7011145,"{""name"":""cm"",""chr"":""X"",""start"":7009006,""stop"":7011145},"
cn,2R,7782797,7785067,"{""name"":""cn"",""chr"":""2R"",""start"":7782797,""stop"":7785067},"
